,epoch,train_loss,test_loss,train_acc,test_acc
0,1,2.285305544481439,2.3028690576553346,0.1325,0.101
1,2,2.2492415743359064,2.252099347114563,0.2512,0.2074
2,3,2.2254209922531905,2.2254005670547485,0.37776666666666664,0.3724
3,4,2.210194906945956,2.214385199546814,0.46971666666666667,0.4449
4,5,2.1992329500489314,2.2055629014968874,0.5373833333333333,0.5061
5,6,2.1902540255401095,2.1980526208877564,0.58415,0.5567
6,7,2.1820856918722895,2.1912469625473023,0.6211166666666667,0.5928
7,8,2.174431324005127,2.1840248584747313,0.6489333333333334,0.6287
8,9,2.16722361112045,2.1776578187942506,0.6731833333333334,0.658
9,10,2.160000312126289,2.171329879760742,0.6925333333333333,0.6741
10,11,2.1530505883491644,2.1649962186813356,0.70585,0.6929
11,12,2.1464755696765447,2.1588066816329956,0.7203,0.7084
12,13,2.1398826938564492,2.1536741256713867,0.7315,0.7239
13,14,2.13375440694518,2.1478150367736815,0.7390333333333333,0.7311
14,15,2.127538111250279,2.1421072006225588,0.7478833333333333,0.7446
15,16,2.1216890488640736,2.1371961355209352,0.7551666666666667,0.7498
16,17,2.115875458313247,2.1317805290222167,0.7616166666666667,0.7605
17,18,2.1103633177482477,2.12726891040802,0.7664,0.7668
18,19,2.104981070857937,2.1221466064453125,0.7725166666666666,0.7735
19,20,2.099847506668608,2.117484927177429,0.7767,0.7801
20,21,2.094653743808552,2.1132317066192625,0.77995,0.7824
21,22,2.089639304047924,2.108990526199341,0.7842666666666667,0.7873
22,23,2.084846836025432,2.1050395727157594,0.78645,0.7904
23,24,2.0802322969598284,2.099875235557556,0.79045,0.7975
24,25,2.0754346039335605,2.096747350692749,0.7916833333333333,0.8003
25,26,2.0707957259679244,2.09219810962677,0.7951666666666667,0.8003
26,27,2.066486778905836,2.087905430793762,0.7990666666666667,0.8045
27,28,2.0621566449181508,2.0848519086837767,0.8002,0.8113
28,29,2.0578139959755593,2.0805126905441282,0.8036833333333333,0.809
29,30,2.0536071769261763,2.077206254005432,0.8038166666666666,0.8122
30,31,2.049500691688667,2.0731121301651,0.8068333333333333,0.8144
31,32,2.0454947503946594,2.0700451374053954,0.8077166666666666,0.8157
32,33,2.041346428758007,2.0664917469024657,0.8116166666666667,0.8191
33,34,2.037624407622774,2.062282371520996,0.8124833333333333,0.8192
34,35,2.0337182424836238,2.0590628147125245,0.8145666666666667,0.8221
35,36,2.0296276625940357,2.0559781074523924,0.8154833333333333,0.8248
36,37,2.0259480435969466,2.0529379844665527,0.81575,0.8252
37,38,2.0221374923900024,2.049362134933472,0.8189833333333333,0.8261
38,39,2.018520634053117,2.045891523361206,0.8197166666666666,0.8274
39,40,2.0149660433753063,2.0427196502685545,0.82035,0.8302
40,41,2.01111413664737,2.0390936851501467,0.8218833333333333,0.8298
41,42,2.0075323945384915,2.036402630805969,0.8243,0.8316
42,43,2.004003569231195,2.033169722557068,0.8251833333333334,0.8316
43,44,2.00034914380413,2.030510890483856,0.8275,0.834
44,45,1.9969521538685944,2.0266803741455077,0.82785,0.8353
45,46,1.9933731353889077,2.024208629131317,0.8282166666666667,0.8349
46,47,1.98988128314584,2.0215840697288514,0.8297833333333333,0.8382
47,48,1.98640037593195,2.0187445998191835,0.8307833333333333,0.8393
48,49,1.9830439070523795,2.014839458465576,0.83245,0.8415
49,50,1.9796529887086254,2.011741065979004,0.8326333333333333,0.8427
50,51,1.9763240834413949,2.008252573013306,0.8347166666666667,0.8462
