,epoch,train_loss,test_loss,train_acc,test_acc
0,1,2.28298646312649,2.303959274291992,0.18615,0.1009
1,2,2.255237130795495,2.2908353567123414,0.2981333333333333,0.1054
2,3,2.241927361084243,2.2635142326354982,0.35325,0.2818
3,4,2.234946646932828,2.259994697570801,0.38698333333333335,0.3044
4,5,2.230086839805215,2.257361912727356,0.4094333333333333,0.319
5,6,2.2259787502935375,2.2548549652099608,0.43223333333333336,0.3298
6,7,2.221964605784012,2.252416253089905,0.45298333333333335,0.3409
7,8,2.218081623820935,2.250119519233704,0.4735666666666667,0.3499
8,9,2.214249117899749,2.2477483987808227,0.4935333333333333,0.3626
9,10,2.2104011188119146,2.245395064353943,0.51415,0.3733
10,11,2.206685769355903,2.242971420288086,0.5322333333333333,0.3821
11,12,2.2030096215716863,2.240677332878113,0.5496666666666666,0.3928
12,13,2.199419999526719,2.238407611846924,0.56655,0.4032
13,14,2.1958749375100863,2.2361685276031493,0.5820333333333333,0.4178
14,15,2.192430779085321,2.2343190193176268,0.5972833333333334,0.4231
15,16,2.1890085066779186,2.2321921825408935,0.6099166666666667,0.4353
16,17,2.1856410462977522,2.2301462173461912,0.6214666666666666,0.4465
17,18,2.1823527853367692,2.2282368898391725,0.6314333333333333,0.4589
18,19,2.1792367636147194,2.2262750387191774,0.64405,0.4705
19,20,2.1761338629965055,2.2243143558502196,0.6511833333333333,0.4826
20,21,2.173114392717006,2.2224127531051634,0.6610666666666667,0.492
21,22,2.1700881214465126,2.2206687211990355,0.6692166666666667,0.5006
22,23,2.167216765678535,2.2189737796783446,0.675,0.5102
23,24,2.1644276724023332,2.2171819686889647,0.6811833333333334,0.5224
24,25,2.1617335384174927,2.215359616279602,0.68775,0.5288
25,26,2.1590458538572666,2.2137426376342773,0.6938833333333333,0.5404
26,27,2.156416472742113,2.2121521472930907,0.6989166666666666,0.5495
27,28,2.1538295907489324,2.2103782653808595,0.7039833333333333,0.5512
28,29,2.1513996285907293,2.2093623161315916,0.7071833333333334,0.554
29,30,2.148966623564898,2.207560992240906,0.7116333333333333,0.5654
30,31,2.146629474930844,2.2061384201049803,0.7143,0.5708
31,32,2.1442277552717823,2.2045105934143066,0.7179166666666666,0.5793
32,33,2.142090680235523,2.2033096075057985,0.72165,0.5776
33,34,2.139757948406672,2.201699209213257,0.7248166666666667,0.5875
34,35,2.1375680050607455,2.200657057762146,0.7274,0.5947
35,36,2.135494486760285,2.1996884822845457,0.7291833333333333,0.5948
36,37,2.1333326970116566,2.1980582237243653,0.7324666666666667,0.6016
37,38,2.131329180830616,2.1963868856430055,0.7335333333333334,0.6069
38,39,2.1292609036979027,2.1953900814056397,0.7357666666666667,0.6084
39,40,2.127273086774147,2.1943600177764893,0.7383333333333333,0.6132
40,41,2.125379105745736,2.1927544355392454,0.7397833333333333,0.6191
41,42,2.1233593407323803,2.1921064138412474,0.743,0.6208
42,43,2.1215974435967913,2.1910293340682983,0.74345,0.6232
43,44,2.119668758521646,2.1896715641021727,0.7442666666666666,0.6237
44,45,2.1178372876118807,2.1885832786560058,0.7450166666666667,0.6264
45,46,2.1159981751846053,2.1869913816452025,0.7469,0.6348
46,47,2.114279876321049,2.1862901210784913,0.7488333333333334,0.6363
47,48,2.1125294313592424,2.1851346492767334,0.7498833333333333,0.6361
48,49,2.110771344879926,2.1841716289520265,0.7497,0.6414
49,50,2.1089948112681762,2.1830366134643553,0.7522166666666666,0.6424
50,51,2.1073371111336403,2.1820061206817627,0.75205,0.6428
51,52,2.1055742077908275,2.18110568523407,0.75535,0.6483
52,53,2.104081699403666,2.1801000595092774,0.7532,0.6502
53,54,2.1024224758148193,2.178644895553589,0.7554166666666666,0.657
54,55,2.100795790300531,2.1778735876083375,0.7577833333333334,0.6527
55,56,2.099178564750542,2.176843762397766,0.7570666666666667,0.6592
56,57,2.0974814285666254,2.176063132286072,0.7579,0.6602
57,58,2.0959614535509528,2.1752663135528563,0.7587,0.6609
