,epoch,train_loss,test_loss,train_acc,test_acc
0,1,2.2782071384332947,2.2478370547294615,0.17295,0.2609
1,2,2.219487418562679,2.193986403942108,0.34855,0.4308
2,3,2.168819888163421,2.150795602798462,0.4941,0.5596
3,4,2.1256770299652876,2.1142547011375425,0.597,0.6446
4,5,2.089172019796856,2.08017897605896,0.6621666666666667,0.705
5,6,2.05703728279825,2.0511391401290893,0.7063,0.7372
6,7,2.0284169023319825,2.0261026263237,0.7350833333333333,0.7617
7,8,2.003043626324605,2.0001489520072937,0.7545333333333333,0.7826
8,9,1.9798402594307722,1.9789691984653472,0.7677666666666667,0.7898
9,10,1.958124597193831,1.95933678150177,0.7805,0.7989
10,11,1.9383396304259866,1.9391893804073335,0.788,0.8066
11,12,1.9198996606519667,1.9234608829021453,0.79345,0.8129
12,13,1.902419215541775,1.908323472738266,0.79985,0.8166
13,14,1.8862188670594813,1.8898424685001374,0.8032666666666667,0.8219
14,15,1.8709427239531178,1.8764894783496857,0.8072833333333334,0.8256
15,16,1.8563368724564375,1.8636437833309174,0.8094833333333333,0.8255
16,17,1.8419704002849127,1.8501103937625885,0.8121833333333334,0.8295
17,18,1.828412684343629,1.8382473826408385,0.8160666666666667,0.8323
18,19,1.8154944777488708,1.824854701757431,0.8188666666666666,0.8354
19,20,1.8034422811815294,1.8134435892105103,0.82005,0.8393
20,21,1.7912610355070082,1.8010508179664613,0.82255,0.8412
21,22,1.7794121402805134,1.7911581516265869,0.8249,0.8421
22,23,1.7682439331280984,1.7811227917671204,0.8276,0.8445
23,24,1.756832354149576,1.7712227761745454,0.8289166666666666,0.8477
24,25,1.7461110707056724,1.7588657796382905,0.8306,0.8494
25,26,1.7360590433670302,1.7443950057029725,0.8334333333333334,0.8483
26,27,1.7256041502548476,1.7392319977283477,0.8350833333333333,0.8526
27,28,1.7157857933286893,1.7269752264022826,0.8372333333333334,0.8535
28,29,1.7056438064171096,1.7166944980621337,0.8379833333333333,0.8509
29,30,1.6957237094135609,1.707634037733078,0.83985,0.8535
