,epoch,train_loss,test_loss,train_acc,test_acc
0,1,2.2897733369116056,2.3012237906455995,0.15725,0.147
1,2,2.2672725592629384,2.2924778342247008,0.3092,0.1733
2,3,2.252833352250568,2.2897682666778563,0.42345,0.1862
3,4,2.244166578276683,2.288011407852173,0.49125,0.2082
4,5,2.2388184292841764,2.2866682171821595,0.5341333333333333,0.2294
5,6,2.234911621627161,2.285967469215393,0.5626166666666667,0.2538
6,7,2.2316859657481567,2.2850610613822937,0.5820666666666666,0.2743
7,8,2.2289113008369834,2.284122657775879,0.5983666666666667,0.2832
8,9,2.226242491754435,2.283718490600586,0.61435,0.2879
9,10,2.223605606515529,2.2830514669418336,0.6263666666666666,0.2971
10,11,2.2210509352764842,2.282152199745178,0.6400833333333333,0.2992
11,12,2.2185404805813804,2.281493878364563,0.65175,0.3061
12,13,2.2160846338433733,2.28071506023407,0.6611333333333334,0.3145
13,14,2.213649965948978,2.2802650809288023,0.6701833333333334,0.3181
14,15,2.2111373755891446,2.279767191410065,0.6792666666666667,0.3145
15,16,2.2086013434296947,2.2791775107383727,0.6876833333333333,0.3181
16,17,2.206329060813128,2.2781582951545714,0.6946166666666667,0.3196
17,18,2.2039474390320857,2.2777016162872314,0.7001333333333334,0.3303
18,19,2.2016263149552424,2.2772784948349,0.7064666666666667,0.3326
19,20,2.1993620557300115,2.2764081001281737,0.7115833333333333,0.3391
20,21,2.1970102362713573,2.275840389728546,0.7177333333333333,0.332
21,22,2.1946622113050043,2.2753109455108644,0.7218833333333333,0.3342
22,23,2.192498415203418,2.2747766375541687,0.7275666666666667,0.3359
23,24,2.190362059463889,2.2739601135253906,0.7286666666666667,0.3338
24,25,2.188159675921424,2.2734503507614137,0.7339833333333333,0.3283
25,26,2.1860407853530623,2.27298264503479,0.73635,0.3352
26,27,2.183875526412059,2.2724422812461853,0.739,0.3292
27,28,2.181901622626741,2.2719634532928468,0.7414333333333334,0.3396
28,29,2.1799884468822155,2.271231400966644,0.7430833333333333,0.3362
29,30,2.1779120715997986,2.27073974609375,0.74445,0.3342
30,31,2.175987168893976,2.2705333948135378,0.747,0.3274
31,32,2.173995648400258,2.270186161994934,0.7497833333333334,0.3308
32,33,2.1721983642901406,2.2693067669868467,0.7517833333333334,0.3333
33,34,2.170317981202724,2.2685528993606567,0.7527833333333334,0.327
34,35,2.168516611648818,2.2685927510261537,0.755,0.327
35,36,2.1667229583707908,2.267992627620697,0.7541833333333333,0.3287
36,37,2.16483442055977,2.2678210377693175,0.7578166666666667,0.3213
37,38,2.1632507695990095,2.2669577598571777,0.7568333333333334,0.3256
38,39,2.161604065006062,2.266285848617554,0.7577833333333334,0.3338
39,40,2.1599685317378934,2.2657702445983885,0.759,0.3157
40,41,2.158181841090574,2.2655354380607604,0.7612333333333333,0.3246
41,42,2.156651218058699,2.2653604626655577,0.7591166666666667,0.3207
42,43,2.155036560559677,2.264365541934967,0.7598833333333334,0.3229
43,44,2.153503563444493,2.26470433473587,0.7610666666666667,0.3174
44,45,2.1518805491722235,2.264660918712616,0.7618333333333334,0.3119
45,46,2.1504197423740967,2.2638823628425597,0.7621333333333333,0.3152
46,47,2.1487550755678595,2.2634685754776003,0.7632166666666667,0.3113
47,48,2.1472900136042448,2.2634055256843566,0.76445,0.3085
48,49,2.1458592919980064,2.262439286708832,0.7634,0.3141
49,50,2.1445681018344427,2.262549889087677,0.7650666666666667,0.3072
50,51,2.142954418214701,2.262149429321289,0.7651833333333333,0.3088
51,52,2.141656522023476,2.261201465129852,0.7636333333333334,0.3112
52,53,2.1403208344669666,2.261574864387512,0.76475,0.3038
53,54,2.1390440928733954,2.2606249809265138,0.7651,0.3091
54,55,2.1376892691951688,2.260398471355438,0.7661833333333333,0.3023
55,56,2.136189715336945,2.259915280342102,0.7664833333333333,0.3036
56,57,2.1350232888076266,2.259813070297241,0.7643,0.3039
57,58,2.133664048324197,2.259297525882721,0.7653833333333333,0.3082
58,59,2.1324005066338234,2.259168565273285,0.7661333333333333,0.3062
59,60,2.131156577902325,2.258862543106079,0.7664666666666666,0.2941
60,61,2.1297851457434187,2.258301591873169,0.7664333333333333,0.2973
61,62,2.128460892176224,2.2582345843315124,0.7662,0.2982
62,63,2.127353169150272,2.2580171823501587,0.7667833333333334,0.2994
63,64,2.126115073591976,2.2577387571334837,0.7667666666666667,0.295
64,65,2.1248611838130627,2.2576232075691225,0.76775,0.2981
65,66,2.1237130892478815,2.2572134852409365,0.76635,0.3016
66,67,2.1223766743126564,2.2569984793663025,0.7671,0.2882
67,68,2.1213570974640925,2.255746591091156,0.7696,0.306
68,69,2.1200625552969465,2.255907881259918,0.76925,0.2935
69,70,2.118961606995534,2.2559975147247315,0.7682,0.295
70,71,2.117918372154236,2.255215513706207,0.7687166666666667,0.3001
71,72,2.116629513643556,2.255023407936096,0.7676333333333333,0.2957
72,73,2.115526791346275,2.255296361446381,0.76845,0.2909
73,74,2.114581516233541,2.2541077852249147,0.76725,0.3044
74,75,2.1134269803257313,2.254079294204712,0.7686166666666666,0.2991
75,76,2.112310757071285,2.253877890110016,0.76745,0.2922
76,77,2.1111614865771795,2.2535162687301638,0.7685166666666666,0.2999
77,78,2.1100563033152433,2.253018820285797,0.76855,0.3056
78,79,2.1090475583480575,2.25261105298996,0.7683,0.2991
79,80,2.10808628292407,2.252593290805817,0.7676166666666666,0.3007
80,81,2.107094851590819,2.2522974848747253,0.7695,0.2983
81,82,2.105810969562854,2.252390170097351,0.7692666666666667,0.2947
